"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,9,2.51966225380436,1.98009369138619,0.240080847274853,0.349298514536776,1.09158206045752,2.01209969464516,3.4076570553867,6.55147910862114,7.63424817709327
"2",3,10,2.57778304778912,1.93119002818729,0.217779286099774,0.331407843170867,1.1001525890243,2.08792720544282,3.56495219780353,6.35882092409536,7.27757669183961
"3",4,11,2.59754164883444,2.08039210606571,0.23702444093464,0.353141275525595,1.11952702342556,2.08907625533013,3.49547358723598,6.64476219230684,8.05068489527369
"4",5,12,2.60387388931493,1.97287948004176,0.277138638196601,0.398042498211234,1.15985323217508,2.11032647977352,3.57814386406063,6.36501164753251,7.75791836850001
"5",6,13,2.57735787372714,1.99463042927501,0.251468759232713,0.373262620095837,1.13864303619469,2.08445900698083,3.50058862435282,6.23504692339999,7.48341920626057
"6",7,14,2.59943357982733,2.01370313655151,0.242985128290877,0.394763400646879,1.16374702818765,2.09708540525289,3.47333117135964,6.44535517759505,7.88190833861894
"7",8,15,2.62175433095304,1.98330827030823,0.259638094098735,0.39229829912364,1.17258249155983,2.11742633360513,3.54661604789135,6.48976709723803,7.77477833259535
"8",9,16,2.6190561971586,2.04193935287416,0.245631059913316,0.390986765416148,1.18315839741647,2.13816727422656,3.48944490087432,6.4611697496986,7.9272811377699
"9",10,17,2.62582707954067,2.06523907794454,0.233107240013296,0.379045607951689,1.12892606222932,2.13247979935744,3.54537346600118,6.66665053121116,8.03615800224313
"10",11,18,2.61909260895378,2.11281637935527,0.235600291195419,0.377558791579968,1.10954858014893,2.07493110329794,3.47283767527721,6.85279420414495,8.34602199029098
"11",12,19,2.62963224791696,1.98621640602672,0.236329364359903,0.38405085607475,1.17722960379098,2.142208035475,3.60670026327039,6.52098434504056,7.77826499646593
"12",13,20,2.54452572846176,1.96464534876265,0.224360042682957,0.387751379426191,1.14859403645538,2.05404917317294,3.39655511737695,6.50698412446174,7.52008321220358
"13",14,21,2.59436067801353,1.97904449622476,0.226862249838763,0.337314297027269,1.1247759834411,2.12894993206282,3.49193150924584,6.28461431466928,7.53913814513517
"14",15,22,2.6383259291495,1.97057776142318,0.233044660707086,0.399731569660561,1.14494112196915,2.15056174005944,3.67156360432463,6.51161036112218,7.57425510016303
"15",16,23,2.55926647879418,1.91988211485918,0.22938709189516,0.370345356208057,1.11002867828527,2.09896184595563,3.49009847607186,6.19663058332911,7.41412133974674
"16",17,24,2.58900194182098,2.00146914781961,0.237646598118825,0.369822832574175,1.12588888369131,2.14322759396746,3.52306668211875,6.39715984276002,7.60532156975462
"17",18,25,2.65278941561222,2.0760913076445,0.23046065678268,0.371370833859843,1.12692066628338,2.15729155032841,3.57321599557222,6.75256083192186,8.02445906573209
"18",19,26,2.62298662182934,2.06006842805308,0.233657808975516,0.372294846845161,1.1289638060538,2.07143310359991,3.5501885267422,6.70922474124014,7.65224098178088
"19",20,27,2.53124695138158,1.91126471117706,0.255806302662953,0.36961122336768,1.08210457201578,2.07777732619028,3.49471549336041,6.17742902498921,7.39781458048835
"20",21,28,2.56982515871264,1.92680164202386,0.234258882727713,0.357054744281005,1.15041718910542,2.07887338381274,3.53547348515613,6.3363491897906,7.48769707126543
"21",22,29,2.59283919545498,1.96436254177296,0.238495715634596,0.346109216010264,1.14209076093399,2.11865767588471,3.57373448086354,6.46401826634612,7.60291696887402
"22",23,30,2.57397328205997,1.98378926582001,0.221592021862634,0.38286214394775,1.13591270751687,2.12192914642455,3.41210516662086,6.37749038931574,7.81756665754768
"23",24,31,2.56926903961044,1.98824234793558,0.25711537319597,0.394156549165721,1.14425600028918,2.06460691749933,3.48193020527367,6.46557432393244,7.59636111883116
"24",25,32,2.5735792173779,1.99523739522479,0.259151384985205,0.374486108241296,1.12745320426377,2.08635907193623,3.44683673263898,6.52483560808145,7.85688917512913
"25",26,33,2.64561372396421,2.05066349218862,0.237280643700422,0.357273956647664,1.15109994506392,2.11450711133351,3.63419924715612,6.81142241506119,7.86030299859518
"26",27,34,2.64889864720486,2.04815008997264,0.239877181338217,0.368150569131304,1.12551740935982,2.14869174231652,3.5739896922726,6.83778275624133,8.02110820345327
"27",28,35,2.56038464304567,1.95478019755804,0.234052525816556,0.343899381371764,1.14781309952192,2.08579979757811,3.4541288390541,6.487344202809,7.43944029694119
"28",29,36,2.6413978190026,2.04451285862627,0.236847847576285,0.379904446176711,1.1206286826772,2.143526615317,3.58763198037991,6.61099659363398,7.82783428336037
"29",30,37,2.61038125656236,2.00697975295433,0.251866107355456,0.370318027429977,1.1346180409882,2.11146138895822,3.53352582144619,6.58112624094552,7.81588029002773
"30",31,38,2.62114902331825,2.01099101065955,0.225035837459927,0.364691577872731,1.13945700077982,2.11376964157363,3.59738301331125,6.60467533191377,7.69120293249159
"31",32,39,2.6256100949668,2.01729573653245,0.220064814507391,0.380628603112459,1.16974204106223,2.11749713075581,3.5454297746696,6.56021790997161,7.88626382741644
"32",33,40,2.57632542780741,1.95989377693071,0.209191057281471,0.343616781596423,1.14346645578986,2.08264556856138,3.54526979293749,6.43488235673306,7.61060745745266
"33",34,41,2.63348872410742,2.05663067286094,0.218176743408652,0.335887236012708,1.12149401702304,2.12068211063684,3.62126715047042,6.57760431645712,7.79834775732688
"34",35,42,2.61011443482865,2.02929539730297,0.239496622551651,0.377159026176547,1.14077790402815,2.11786406173998,3.50793465130613,6.57829713971754,8.04330710558071
"35",36,43,2.59950468724876,2.03907612062099,0.24766404273495,0.371551286368216,1.10301427736215,2.07059120660411,3.54265060518323,6.56307251912216,7.74060438957581
"36",37,44,2.51719353366006,1.93948192832149,0.238230704088203,0.381546575432071,1.08559063901097,2.02351984676088,3.45096309723483,6.28774722203848,7.40105429439314
"37",38,45,2.56551610963587,1.9609176246202,0.258756316933958,0.385791459869615,1.11051808258911,2.10793619443911,3.44010735307791,6.38975437767721,7.6191654203905
"38",39,46,2.60570759377872,1.95883371776679,0.249560076860168,0.375901981356591,1.16407420763921,2.12456451967695,3.51985990468016,6.44067670607848,7.6060804516648
"39",40,47,2.62703166597838,2.03968610151989,0.221517254063597,0.349350323968192,1.12779377538166,2.11772963974206,3.59305727238802,6.61918527146154,8.16486574313003
"40",41,48,2.62014223061039,2.02222981026833,0.221289731231311,0.342707446589164,1.13819332687382,2.13409280320988,3.58707150562639,6.41998396137456,7.75803127959026
"41",42,49,2.63549205957459,2.07251744260942,0.225552718705989,0.350687871009966,1.11173116130176,2.14525156188861,3.62017366480253,6.59352333480855,7.98892213756977
"42",43,50,2.56809350234269,1.95893115096776,0.220544306811771,0.349495983349541,1.13348659818542,2.05602958169944,3.54532829891173,6.36048021584542,7.66482488133203
"43",44,51,2.60261135729792,1.98917198529708,0.275928318340769,0.422167033409329,1.17643353314688,2.11043019947758,3.49859458979426,6.37504698344672,7.72644660784622
"44",45,52,2.66014368538076,2.01181058641794,0.252218473942478,0.374498849680575,1.16651126021093,2.21546676999369,3.59875533028868,6.56027359011288,7.85679484936883
"45",46,53,2.58574082309368,1.98433344650286,0.205104990102826,0.332214460548069,1.12048803860491,2.07343339872122,3.52364059288876,6.47237568779621,7.67068644294004
"46",47,54,2.54618643707989,1.92416350589437,0.215420547554009,0.35933790811705,1.11186497973906,2.11946756123934,3.47020719582772,6.43117639450981,7.36480621239923
"47",48,55,2.55017537719979,1.96182090327923,0.205039216079738,0.343730465354753,1.11394926815638,2.07324747747475,3.48203929247131,6.4213340955471,7.52820714286379
"48",49,56,2.58383088463946,1.96870033820026,0.229240482591661,0.358521538912615,1.15163721071522,2.11350928380181,3.49545730042767,6.42915911659187,7.59503111499043
"49",50,57,2.55971383996896,1.95908366537773,0.243445785400362,0.357177574244641,1.11849407639373,2.09247222987597,3.49325038279189,6.41341838651306,7.62398204026833
"50",51,58,2.59688098709294,2.04083436832484,0.224476348242741,0.346714838815605,1.11356204022991,2.10369528202749,3.48351052449431,6.57558382990482,7.97379455853688
"51",52,59,2.63116290755827,1.96746017766889,0.254537893928644,0.384434337479104,1.21040929053084,2.16536088405745,3.56394471594165,6.4727670967949,7.57612357714597
"52",53,60,2.61625498423901,1.9688036139876,0.240249761733649,0.387139325824263,1.17385127238194,2.1611666415029,3.57886016574228,6.38452131041846,7.43755681000171
"53",54,61,2.61142310300847,1.98035082264086,0.224416122583965,0.356145548110563,1.14135625423746,2.10762880658694,3.61481955639827,6.46226146249728,7.5748332162097
"54",55,62,2.59595768843809,1.92356614227886,0.245572566389129,0.395710754293087,1.17330950509662,2.14138577953563,3.54487146454407,6.47803840727454,7.33256181588637
"55",56,63,2.66113434039197,2.04894251794659,0.234204405312503,0.353147243546473,1.14434707279751,2.16899834459112,3.6915466612843,6.7779680169228,8.00266780318175
"56",57,64,2.5986747494301,1.98328365322358,0.240190194597786,0.373004514690994,1.16648696216979,2.13377945966142,3.50153396294963,6.56567287044965,7.77481854588568
"57",58,65,2.55254583915287,1.92291535227161,0.242394287619712,0.351217467865103,1.12606518644686,2.07073155242093,3.50383232579324,6.31914911373718,7.48398024366001
"58",59,66,2.64110142682086,2.02203052786087,0.223885697550552,0.371789643942087,1.19495065389088,2.13551164284603,3.64911100734497,6.52825079941477,7.853564459169
"59",60,67,2.59849642872207,2.01542963615975,0.228434366043276,0.357974862996924,1.12503941403615,2.07142303993561,3.560061123082,6.59541980259306,7.72976816525687
"60",61,68,2.55456042775936,1.95344678690665,0.234995684861598,0.338702651590771,1.14687373114685,2.07114933143691,3.56651755977849,6.30671389342434,7.43453375577326
"61",62,69,2.55515953208659,1.96496643004278,0.248553651474071,0.387805042083358,1.10828649469046,2.03376392741689,3.46022498947524,6.38055494219559,7.42503905330804
"62",63,70,2.6016969313519,2.03344181729663,0.207736603700834,0.347317219099156,1.11917799121689,2.09138126705502,3.52453809629469,6.63799493972247,7.83989999457191
"63",64,71,2.59903141937186,2.03247982581455,0.24544090822175,0.387061292193812,1.12124851281881,2.05768250822297,3.47109404968672,6.61560563498426,7.68363327248101
"64",65,72,2.65020209163595,2.03598801427163,0.259775963733475,0.400315270689755,1.13563052569564,2.08832161016512,3.66743029911236,6.64172572262166,7.73152320019529
"65",66,73,2.58922402175238,1.98631454568797,0.223106776761433,0.352030009146519,1.14427880990876,2.11663043609588,3.50784156819412,6.4425780845851,7.72777542513781
"66",67,74,2.5637326669546,1.97083554658598,0.251878943249793,0.363650680487394,1.15160367806547,2.1051483271025,3.45141345592495,6.40297860329723,7.83475247521441
"67",68,75,2.67199521402861,2.05393147560484,0.218374338543409,0.355359362770087,1.15024884996917,2.1870214993165,3.70891000283744,6.78256217548205,7.88427092720114
"68",69,76,2.57562436513203,1.97706155258116,0.228110444379384,0.362972320272354,1.09328056162453,2.11505296300994,3.53527449347772,6.39629030536521,7.66054979809898
"69",70,77,2.64538898686282,2.0132443596542,0.256266692816308,0.406190368723591,1.20218954777939,2.16022364445917,3.58247565474838,6.56921110096555,7.78674479358001
"70",71,78,2.60666496713683,2.03163405267223,0.236102065369369,0.35878217659228,1.09016832231246,2.06186027101584,3.61487109452936,6.66135601635251,7.75325746429168
"71",72,79,2.58602375811044,2.0015789015336,0.236169833932463,0.359357238523591,1.1426578202774,2.07153037990308,3.47610703233226,6.51307144776302,7.65965714619334
"72",73,80,2.53716850637769,1.93373327586212,0.233597338918014,0.35189545973382,1.15502044402461,2.13439500476179,3.40260792219906,6.22498369917048,7.57146162154447
"73",74,81,2.59511026280953,1.95704848748479,0.204725227121722,0.351366496851506,1.17274331167011,2.12385504030654,3.53550790979564,6.46547809297173,7.77560924190761
"74",75,82,2.60784550729509,2.07078282992054,0.252813335390061,0.378196853492327,1.14575882020009,2.09182283897409,3.44410690027509,6.53391982087438,8.21369762995024
"75",76,83,2.59147053791114,2.01007772981546,0.235360817128518,0.332486128624303,1.12378455411518,2.12052287566994,3.53106243410791,6.36812296167294,7.74493987713142
"76",77,84,2.56484330099524,1.90885374829816,0.246580543558643,0.391370533872099,1.15043327756743,2.10677787243313,3.48168877837249,6.31381765518266,7.426581330991
"77",78,85,2.58395678914273,2.04556847858476,0.232741304057146,0.352215224841969,1.12092322685543,2.05524134116387,3.52106917612021,6.4381098663114,7.56391793747427
"78",79,86,2.56333630707234,2.01185188167162,0.232817457504254,0.352329394832149,1.15214869522781,2.07212546139743,3.45476415092938,6.47540318268966,7.56185005433513
"79",80,87,2.59527661614905,1.96506468506585,0.22326345590037,0.353476344907314,1.15368833033583,2.10787641251925,3.57396291300714,6.30444327080006,7.6173789139072
"80",81,88,2.61044537185567,1.99784018820564,0.237487822944054,0.364938401916531,1.16516897584117,2.11017728715437,3.54423220053447,6.40497575430349,7.65212970080888
"81",82,89,2.59315572818775,2.03943520772303,0.245914217313525,0.39325096247678,1.1332219102729,2.05978397431488,3.50409660027618,6.61023224347176,7.83534678521101
"82",83,90,2.58957871897001,1.98440725172783,0.242755660448703,0.354993564718558,1.14133717487044,2.09661332632264,3.50941262237749,6.52104050041967,7.84585775246947
"83",84,91,2.58353069197077,1.9740430175187,0.240153801574301,0.380610503112429,1.14958386095316,2.08035331690983,3.51562876317564,6.51503950000339,7.64572914034544
"84",85,92,2.6129431915394,1.99125861021384,0.245920070308247,0.365971894107012,1.16698816138184,2.10938286406315,3.56945261099705,6.48122441137752,7.78125641717082
"85",86,93,2.60166793007282,2.04131416815093,0.214264540539275,0.349735417656283,1.16488898553505,2.06031151292992,3.54030715795458,6.65517090919055,8.03658872504613
"86",87,94,2.60261590316407,1.94480255477495,0.23240821385676,0.361229058263841,1.16461972787316,2.16513461011984,3.52207955543856,6.33154151414161,7.58808253711513
"87",88,95,2.60995406321449,1.98134350125481,0.23355693507544,0.360050091448885,1.15371794944903,2.11118803095411,3.5256844736915,6.56732693370542,7.7110006705386
"88",89,96,2.58409765207857,1.92871035853687,0.248007489898348,0.383801613251894,1.10845692209327,2.14464651509526,3.61430222873858,6.27496005272678,7.46166350043257
"89",90,97,2.63082257342817,1.93405239262298,0.22095835533562,0.359664793875048,1.18637310699749,2.20076484576895,3.58587976649931,6.46119711621214,7.2622790799143
"90",91,98,2.59421911837549,1.9754922397803,0.266813744548762,0.400115032403093,1.14427826400055,2.12741880932278,3.55229619998485,6.37147450573696,7.51262830031813
"91",92,99,2.59895318749873,1.98925624718491,0.242028598457819,0.377388423117006,1.13634869852492,2.09628795805737,3.53078023261661,6.64606283518474,7.63146166952064
"92",93,100,2.58419219011187,2.00270259220486,0.244567309555713,0.353729428392813,1.09765193457624,2.10411511737018,3.55228213102853,6.32134183112929,7.906515391127
"93",94,101,2.52369611001481,2.02156042213874,0.21996621323243,0.335376365821671,1.06320582351204,2.02453634470689,3.40473244974497,6.34935001624237,7.76640193268341
"94",95,102,2.53506337723928,1.95891762996542,0.238935396787913,0.362221055233367,1.10225948430949,2.03943196599911,3.46532692475412,6.38134500776547,7.56770443866951
"95",96,103,2.59753062091907,2.00276549116919,0.243943518038338,0.375493839803255,1.14382153238933,2.1063643333275,3.5307921309489,6.49178848532415,7.80191097360266
"96",97,104,2.59451852198959,2.0328394595749,0.225591521247256,0.347799176466685,1.15280748080801,2.1573430621334,3.45188911205967,6.50107926294799,7.71754779658735
"97",98,105,2.58828252657093,1.95987543021837,0.23785167460948,0.371086755523249,1.18643979473994,2.10457651877327,3.50396650933908,6.32025535874605,7.64905766670278
"98",99,106,2.5905738888667,1.99499204572373,0.243822362837032,0.360331628636924,1.14043270323424,2.06487409560864,3.53685241400676,6.39241209737696,7.76075484424179
"99",100,107,2.53943858133261,1.9508968580338,0.223097983876553,0.343222898902907,1.11574118531939,2.04288950759952,3.53085758802606,6.3203236252842,7.30417306905044
"100",101,108,2.59998114212784,1.98698709001281,0.244457812084143,0.400056514040332,1.13097882035028,2.10856582126951,3.51900070650468,6.56677445655903,7.74708198519336
"101",102,109,2.52111176058702,1.91854504514853,0.205458907258314,0.343579795680744,1.11208620174886,2.0527221285581,3.41219437796953,6.31021058105394,7.41691808569516
"102",103,110,2.65607553930629,2.11558402616386,0.251709167153241,0.390135130952535,1.16229676834877,2.06293787557127,3.6217157694525,6.69647570613733,8.17039937962388
"103",104,111,2.52192711134769,1.91917123790904,0.2262453163146,0.342176925185612,1.08257753268381,2.09421006260085,3.43275755286699,6.35363500507681,7.49223268800375
"104",105,112,2.61989714093255,2.01058106256531,0.244813996370616,0.367156981265046,1.12357733812887,2.12762231305493,3.625460229666,6.75209121041032,7.85063845492697
"105",106,113,2.63473322222901,2.02642325776059,0.233248791455859,0.377266469468115,1.17069145640051,2.11179696364267,3.59433334515738,6.60784086119308,8.0493968790678
"106",107,114,2.51281807859322,1.93025854756704,0.234862360138827,0.368568610996957,1.0751235804601,2.00378684312691,3.48382417612535,6.27282115232931,7.49424785817037
"107",108,115,4.115297921634,2.55081930577123,0.758411574647433,1.00242963005222,2.27737965644765,3.58582962263765,5.3553247948836,8.9629761259293,10.524833220223
"108",109,116,3.8357440037867,2.34024067381605,0.691229377273665,0.941552923437191,2.1312356576468,3.41025991533651,5.08705103849294,8.15539869951213,9.65477426610302
"109",110,117,3.26392496511465,1.97655076035662,0.572361443088622,0.812857860186603,1.81020266573124,2.88749342732815,4.30229481425217,7.07865286870718,8.00047842354529
"110",111,118,2.76420281734355,1.76060205651298,0.461478461591013,0.654855803240241,1.46878734797186,2.37024121383369,3.67678924189314,6.17345635058061,7.10288394680337
"111",112,119,2.37035296112706,1.45214326508877,0.433052347592174,0.575761259264544,1.27256558979097,2.09049651903157,3.17887418020253,5.09199012798269,5.98079046908135
"112",113,120,2.15786505798372,1.31498544062733,0.368877765932813,0.516339582706301,1.19362447400344,1.90597203921653,2.85323943761029,4.66646487827992,5.36152535934227
